ID_NACIN_STUDIJA,ZAP_ST,ID_VIS_ZAVOD_PRG,ID_PROGRAM_PRG,slovenistika
1,1,18,QE00,MUZIKOLOGIJA - ENOPREDMETNI UN
1,2,18,QF00,FRANCISTIKA Z ROMANISTIKO - ENOPREDMETNI UN
1,1,18,QE00,GERMANISTIKA -  ENOPREDMETNI UN
1,2,18,QR00,GEOGRAFIJA - ENOPREDMETNI   UN
1,1,18,QE00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QP00,ARHEOLOGIJA  - ENOPREDMETNI UN
1,1,18,QD00,BIBLIOTEKARSTVO IN INFORMATIKA - ENOPREDMETNI UN
1,1,18,QE00,ANGLISTIKA - ENOPREDMETNI UN
1,1,18,QE00,ANTIČNI IN HUMANISTIČNI ŠTUDIJI - ENOPREDMETNI UN
1,2,18,QJ00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  ENOPREDMETNI UN
1,1,18,QI00,UNIVERZITETNA POSLOVNA IN EKONOMSKA ŠOLA UN
1,2,18,QH00,VISOKA POSLOVNA ŠOLA (LJUBLJANA) VS
1,1,18,QI00,PRAVO UN
1,2,18,QR00,DRUŽBOSLOVNA INFORMATIKA VS
1,1,18,QI00,SOCIOLOGIJA - KADROVSKI MENEDŽMENT UN
1,2,18,QP00,POLITOLOGIJA  - ŠTUDIJE POLITIKE IN DRŽAVE UN
1,1,18,TRAN,POLITOLOGIJA - ANALIZA POLITIK IN JAVNA UPRAVA UN
1,1,18,QL00,POLITOLOGIJA - OBRAMBOSLOVJE UN
1,2,18,QR00,NOVINARSTVO UN
1,1,18,QL00,KOMUNIKOLOGIJA - MEDIJSKE IN KOMUNIKACIJSKE ŠTUDIJE UN
1,2,18,QP00,KULTUROLOGIJA UN
1,1,18,QL00,ANALITSKA SOCIOLOGIJA UN
1,2,18,QQ00,DRUŽBOSLOVNA INFORMATIKA UN
1,1,18,QL00,MEDNARODNI ODNOSI UN
1,2,18,QT00,EVROPSKE ŠTUDIJE - DRUŽBOSLOVNI VIDIKI UN
1,1,18,QL00,KOMUNIKOLOGIJA - TRŽNO KOMUNICIRANJE IN ODNOSI Z JAVNOSTMI UN
1,2,18,QV00,ŠPORTNO TRENIRANJE UN
1,1,18,QR00,KINEZIOLOGIJA UN
1,2,18,QQ00,ŠPORTNA VZGOJA UN
1,1,18,QR00,STROJNIŠTVO UN
1,2,18,QT00,STROJNIŠTVO (LJUBLJANA) VS
1,1,18,QR00,ENOVITI MAGISTRSKI ŠTUDIJSKI PROGRAM DRUGE STOPNJE ARHITEKTURA
1,2,18,QV00,OPERATIVNO GRADBENIŠTVO VS
1,1,18,QS00,GEODEZIJA IN GEOINFORMATIKA UN
1,2,18,QP00,TEHNIČNO UPRAVLJANJE NEPREMIČNIN VS
1,1,18,QS00,VODARSTVO IN OKOLJSKO INŽENIRSTVO UN
1,2,18,QQ00,GRADBENIŠTVO UN
1,1,18,QS00,KEMIJSKO INŽENIRSTVO UN
1,2,18,QT00,KEMIJA UN
1,1,18,QS00,BIOKEMIJA UN
1,2,18,QV00,KEMIJSKA TEHNOLOGIJA VS
1,1,18,QP00,TEHNIŠKA VARNOST UN
1,2,18,QN00,ENOVITI MAGISTRSKI ŠTUDIJSKI PROGRAM DRUGE STOPNJE FARMACIJA
1,1,18,QP00,KOZMETOLOGIJA UN
1,2,18,QQ00,LABORATORIJSKA BIOMEDICINA UN
1,1,18,QP00,NAČRTOVANJE TEKSTILIJ IN OBLAČIL UN
1,2,18,QT00,OBLIKOVANJE TEKSTILIJ IN OBLAČIL UN
1,1,18,QP00,PROIZVODNJA TEKSTILIJ IN OBLAČIL VS
1,2,18,QV00,GRAFIČNE IN INTERAKTIVNE KOMUNIKACIJE UN
1,1,18,QN00,GRAFIČNA IN MEDIJSKA TEHNIKA VS
1,1,18,QN00,KMETIJSTVO - AGRONOMIJA  IN HORTIKULTURA VS
1,2,18,QJ00,KMETIJSTVO - AGRONOMIJA UN
1,1,18,QQ00,ŽIVILSTVO IN PREHRANA UN
1,1,18,QQ00,MIKROBIOLOGIJA UN
1,2,18,QJ00,GOZDARSTVO VS
1,1,18,QT00,GOZDARSTVO IN OBNOVLJIVI GOZDNI VIRI UN
1,1,18,QT00,ENOVITI MAGISTRSKI ŠTUDIJSKI PROGRAM DRUGE STOPNJE VETERINARSTVO
1,2,18,QV00,BIOLOGIJA UN
1,1,18,QJ00,TEHNOLOGIJE LESA IN VLAKNATIH KOMPOZITOV VS
1,2,18,QV00,LESARSTVO UN
1,1,18,QV00,KMETIJSTVO - ZOOTEHNIKA UN
1,1,18,YM00,KMETIJSTVO - ŽIVINOREJA VS
1,2,18,QF00,ENOVITI MAGISTRSKI ŠTUDIJSKI PROGRAM DRUGE STOPNJE MEDICINA
1,1,18,YM00,ENOVITI MAGISTRSKI ŠTUDIJSKI PROGRAM DRUGE STOPNJE DENTALNA MEDICINA
1,2,18,QR00,SLIKARSTVO - SMER SLIKARSTVO UN
1,1,18,YM00,KIPARSTVO UN
1,2,18,QN00,INDUSTRIJSKO IN UNIKATNO OBLIKOVANJE - SMER UNIKATNO OBLIKOVANJE  UN
1,1,18,YM00,OBLIKOVANJE VIZUALNIH KOMUNIKACIJ - SMER FOTOGRAFIJA UN
1,2,18,QQ00,OBLIKOVANJE VIZUALNIH KOMUNIKACIJ - SMER GRAFIČNO OBLIKOVANJE UN
1,1,18,YM00,SLIKARSTVO - SMER VIDEO IN NOVI MEDIJI UN
1,2,18,QT00,INDUSTRIJSKO IN UNIKATNO OBLIKOVANJE - SMER INDUSTRIJSKO OBLIKOVANJE  UN
1,1,18,YM00,OBLIKOVANJE VIZUALNIH KOMUNIKACIJ - SMER ILUSTRACIJA UN
1,2,18,QV00,KONSERVIRANJE IN RESTAVRIRANJE LIKOVNIH DEL UN
1,1,18,Q000,SAKRALNA GLASBA UN
1,2,18,Q300,GLASBENA PEDAGOGIKA UN
1,1,18,Q000,ORGLE UN
1,2,18,Q700,VIOLINA UN
1,1,18,Q000,VIOLONČELO UN
1,2,18,Q900,HARFA UN
1,1,18,Q000,FLAVTA UN
1,2,18,QC00,OBOA UN
1,1,18,Q000,SAKSOFON UN
1,2,18,QI00,TROBENTA UN
1,1,18,Q000,TUBA UN
1,2,18,QF00,GLASBENA UMETNOST UN
1,1,18,Q000,PETJE UN
1,2,18,QR00,KOMPOZICIJA IN GLASBENA TEORIJA UN
1,1,18,Q000,ZBOROVSKO DIRIGIRANJE UN
1,2,18,QP00,KLAVIR UN
1,1,18,ZY00,HARMONIKA UN
1,1,18,Q000,VIOLA UN
1,1,18,Q000,KONTRABAS UN
1,2,18,QJ00,KITARA UN
1,1,18,Q200,ČEMBALO UN
1,2,18,Q300,KLJUNASTA FLAVTA UN
1,1,18,Q200,KLARINET UN
1,2,18,Q500,FAGOT UN
1,1,18,Q200,ROG UN
1,2,18,Q800,POZAVNA UN
1,1,18,Q200,TOLKALA UN
1,2,18,QA00,ORKESTRSKO DIRIGIRANJE UN
1,1,18,Q200,DRAMSKA IGRA UN
1,2,18,QE00,FILM IN TELEVIZIJA - SMER FILMSKA IN TELEVIZIJSKA REŽIJA UN
1,1,18,Q300,DRAMATURGIJA IN SCENSKE UMETNOSTI UN
1,2,18,QN00,GLEDALIŠKA REŽIJA UN
1,1,18,Q300,FILM IN TELEVIZIJA - SMER FILMSKO IN TELEVIZIJSKO SNEMANJE UN
1,1,18,Q300,FILM IN TELEVIZIJA - SMER FILMSKA IN TELEVIZIJSKA MONTAŽA UN
1,2,18,QJ00,MATEMATIKA  UN
1,1,18,Q400,PRAKTIČNA MATEMATIKA VS
1,2,18,Q500,FINANČNA MATEMATIKA UN
1,1,18,Q400,FIZIKALNA MERILNA TEHNIKA VS
1,2,18,Q800,METEOROLOGIJA Z GEOFIZIKO UN
1,1,18,Q400,FIZIKA UN
1,2,18,QA00,ENOVITI MAGISTRSKI ŠTUD. PROGRAM DRUGE STOPNJE PEDAGOŠKA MATEMATIKA
1,1,18,Q400,ENOVITI MAGISTRSKI ŠTUDIJSKI PROGRAM DRUGE STOPNJE TEOLOGIJA
1,2,18,QE00,TEOLOŠKE IN RELIGIJSKE ŠTUDIJE (LJUBLJANA) UN
1,1,63,Q400,RAČUNALNIŠTVO IN INFORMATIKA VS
1,2,63,QH00,RAČUNALNIŠTVO IN INFORMATIKA UN
1,1,18,Q400,ELEKTROTEHNIKA UN
1,2,18,QL00,MULTIMEDIJSKE KOMUNIKACIJE (NOVA GORICA)  VS
1,1,18,Q400,APLIKATIVNA ELEKTROTEHNIKA VS
1,2,18,QS00,METALURŠKE TEHNOLOGIJE VS
1,1,18,Q400,INŽENIRSTVO MATERIALOV UN
1,2,18,QN00,GEOTEHNOLOGIJA IN RUDARSTVO VS
1,1,18,Q400,GEOTEHNOLOGIJA IN RUDARSTVO UN
1,1,18,Q400,GEOLOGIJA UN
1,2,18,QJ00,BIOTEHNOLOGIJA UN
1,1,63,Q500,RAČUNALNIŠTVO IN MATEMATIKA UN
1,2,18,Q700,KRAJINSKA ARHITEKTURA UN
1,1,18,Q500,UPRAVNA INFORMATIKA UN
1,2,18,QA00,MULTIMEDIJA UN
